Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Earnings Before Interest and Tax,Fixed Assets,Gross Margin,Gross Profit,Income Tax,Inventory,Investments,Liabilities,Net Borrowings,Net Cash Flow,Net Income,Net Income Applicable to Common Shareholders,Operating Income,Operating Margin,Profit Margin,Retained Earnings,Total Assets,Total Liabilities,Earnings Per Share
BIIB,2013-12-31,1754785000.0,-111000000.0,-10000000.0,22.0,-246300000.0,70.0,602562000.0,-243900000.0,128000.0,857700000.0,181.0,2505500000.0,1750710000.0,88.0,6074500000.0,601000000.0,659003000.0,1912000000.0,602600000.0,-452400000.0,23900000.0,1862300000.0,1862300000.0,2515500000.0,36.0,27.0,6349135000.0,3184934000.0,11863335000.0,236933842.239
BIIB,2014-12-31,2215000000.0,-543100000.0,-9000000.0,27.0,-287800000.0,83.0,1204900000.0,-185900000.0,100000.0,1171000000.0,204.0,3963400000.0,1765700000.0,88.0,8532300000.0,989900000.0,804000000.0,-864200000.0,353300000.0,-2700000.0,643200000.0,2934800000.0,2934800000.0,3972400000.0,41.0,30.0,9283900000.0,4535000000.0,14314700000.0,236296296.296
BIIB,2015-12-31,2572900000.0,-2100000.0,-123700000.0,38.0,-643000000.0,133.0,1308000000.0,-174400000.0,100000.0,1240400000.0,260.0,4767300000.0,2187600000.0,88.0,9523400000.0,1161600000.0,893400000.0,-2801900000.0,-272000000.0,5928400000.0,148900000.0,3547000000.0,3547000000.0,4891000000.0,45.0,33.0,12208400000.0,6700300000.0,19504800000.0,230624187.256
BIIB,2016-12-31,3415200000.0,-227500000.0,-217400000.0,31.0,-616100000.0,143.0,2326500000.0,-165600000.0,100000.0,1478700000.0,255.0,4933000000.0,2501800000.0,87.0,9970100000.0,1237300000.0,1001600000.0,-534300000.0,407000000.0,-2700000.0,1049800000.0,3702800000.0,3702800000.0,5150400000.0,45.0,32.0,15071600000.0,8732200000.0,22876800000.0,
BK,2012-12-31,39506000000.0,0.0,162000000.0,7.0,-652000000.0,,1.4534e+11,0.0,13000000.0,0.0,,3891000000.0,1659000000.0,100.0,14528000000.0,842000000.0,0.0,-19781000000.0,-195000000.0,2714000000.0,552000000.0,2437000000.0,2419000000.0,3195000000.0,22.0,17.0,14622000000.0,0.0,3.5899e+11,1194607843.14
BK,2013-12-31,38410000000.0,0.0,141000000.0,6.0,-609000000.0,,1.5528e+11,0.0,13000000.0,0.0,,4120000000.0,1655000000.0,100.0,14942000000.0,1592000000.0,0.0,-6050000000.0,-465000000.0,2776000000.0,1733000000.0,2104000000.0,2040000000.0,3636000000.0,24.0,14.0,15952000000.0,0.0,3.74516e+11,1202285714.29
BK,2014-12-31,49265000000.0,0.0,91000000.0,7.0,-791000000.0,,1.43449e+11,0.0,13000000.0,0.0,,3917000000.0,1394000000.0,100.0,15649000000.0,912000000.0,0.0,-29250000000.0,-941000000.0,7644000000.0,510000000.0,2567000000.0,2494000000.0,3472000000.0,22.0,16.0,17683000000.0,0.0,3.85303e+11,1182949308.76
BK,2015-12-31,49786000000.0,0.0,83000000.0,8.0,-601000000.0,,1.59259e+11,0.0,13000000.0,0.0,,4535000000.0,1379000000.0,100.0,14951000000.0,1013000000.0,0.0,-6772000000.0,-852000000.0,5185000000.0,-433000000.0,3158000000.0,3053000000.0,4152000000.0,28.0,21.0,19974000000.0,0.0,3.9378e+11,1156776556.78
BLL,2012-12-31,1225300000.0,600000.0,-15100000.0,36.0,-305000000.0,10.0,174100000.0,29100000.0,1026300000.0,7174000000.0,139.0,775400000.0,2276700000.0,18.0,1561700000.0,172200000.0,1044400000.0,0.0,10600000.0,77800000.0,8300000.0,396300000.0,396300000.0,790500000.0,9.0,5.0,3580800000.0,2339400000.0,7507100000.0,151839080.46
BLL,2013-12-31,1240100000.0,80200000.0,-28000000.0,33.0,-378300000.0,22.0,416000000.0,21400000.0,1078400000.0,6875400000.0,128.0,767400000.0,2372300000.0,19.0,1592700000.0,149600000.0,1028300000.0,0.0,-40100000.0,290600000.0,241900000.0,406800000.0,406800000.0,795400000.0,9.0,5.0,3947700000.0,2470900000.0,7820400000.0,145806451.613
